Requirement_ID,Requirement_Text,Passage_Text,Bi_Encoder_Cosine,Cross_Encoder_Logit,LABEL_1_or_0
1,"Vendor must implement, migrate data, provide training, and ongoing support.","- Phase 3: Data migration and testing (8 weeks) – migration of legacy HR data for at least 10,000 employees, UAT cycles, performance testing.",0.7246,-4.894,1
1,"Vendor must implement, migrate data, provide training, and ongoing support.",Service Model and Support,0.7116,-6.6431,0
1,"Vendor must implement, migrate data, provide training, and ongoing support.","| Fully Compliant   | | MR-3    | Vendor maintains current ISO/IEC 27001 certification                          | Our information security management system is certified to ISO/IEC 27001:2013, covering the facilities and services used to deliver InsightHR Cloud.",0.7064,-7.6233,0
1,"Vendor must implement, migrate data, provide training, and ongoing support.","- Phase 4: Go-live and stabilisation (4 weeks) – production cut-over, hypercare support, knowledge transfer.",0.7089,-9.4373,1
1,"Vendor must implement, migrate data, provide training, and ongoing support.",InsightTech Solutions Ltd.,0.704,-9.2002,0
1,"Vendor must implement, migrate data, provide training, and ongoing support.","InsightTech Solutions Ltd. (""InsightTech"") is pleased to submit this proposal in response to the Government of Aryavarta Department of Human Resources RFP for a Cloud-Based HR Information System (HRIS).",0.7114,-10.6821,0
1,"Vendor must implement, migrate data, provide training, and ongoing support.","| Fully Compliant   | | MR-9    | Implementation for 10,000 employee records within 6 months                   | Based on our experience with similar public-sector deployments, we anticipate completing the Aryavarta rollout within 5–6 months from contract signature.",0.7048,-9.9071,1
1,"Vendor must implement, migrate data, provide training, and ongoing support.","| RFP Ref | Requirement (Summary)                                                        | InsightTech Response (Summary) | Stated Compliance | |--------:|-------------------------------------------------------------------------------|--------- ---------------------------------------------------------------------------------------------------- ---------------------------------------|-------------------| | MR-1    | 24/7/365 uninterrupted technical support availability                        | InsightHR operations are built on a global follow-the-sun model with engineers online at all hours, including weekends and public holidays for P1/P2 incidents.",0.6837,-9.8307,0
1,"Vendor must implement, migrate data, provide training, and ongoing support.","| Fully Compliant   | | MR-8    | Compliance with applicable data protection and privacy laws                  | InsightHR includes configurable data retention, consent tracking and data subject access tooling; we operate under an EU-style data protection framework.",0.6988,-10.3778,0
1,"Vendor must implement, migrate data, provide training, and ongoing support.","- Phase 1: Discovery and design (4 weeks) – detailed workshops, requirements validation, integration design.",0.6844,-10.4724,1
2,"Vendor must provide an HRIS system covering core HR, attendance, payroll, performance management, employee self-service, and role-based access control.","InsightTech Solutions Ltd. (""InsightTech"") is pleased to submit this proposal in response to the Government of Aryavarta Department of Human Resources RFP for a Cloud-Based HR Information System (HRIS).",0.722,-2.3461,0
2,"Vendor must provide an HRIS system covering core HR, attendance, payroll, performance management, employee self-service, and role-based access control.","We understand the mission-critical nature of HR information and the regulatory obligations placed on public bodies, and we have designed our service model accordingly.",0.7584,-5.5284,0
2,"Vendor must provide an HRIS system covering core HR, attendance, payroll, performance management, employee self-service, and role-based access control.",30 minutes for critical HRIS services.,0.71,-3.5429,0
